data_hora,umidade,temperatura,ph,n,p,k,nivel_chuva,status_irrigacao,sugestao
2026-05-01 08:00:00,32.5,24.8,6.4,1,1,1,0,LIGADA,Irrigar por 15 minutos
2026-05-01 12:00:00,45.2,28.1,6.7,1,1,1,1,DESLIGADA,Sem irrigacao devido a umidade adequada
2026-05-01 16:00:00,29.9,29.5,6.2,1,1,0,0,LIGADA,Irrigar e verificar nutriente K
2026-05-02 08:00:00,38.0,23.9,5.4,1,0,1,0,DESLIGADA,Correcao de P antes de irrigar
2026-05-02 12:00:00,27.3,27.2,6.9,1,1,1,2,DESLIGADA,Chuva forte prevista; adiar irrigacao
2026-05-02 16:00:00,33.8,26.4,7.6,1,1,1,0,DESLIGADA,pH alto; ajustar antes de irrigar
2026-05-03 08:00:00,41.1,22.7,6.5,1,1,1,1,DESLIGADA,Monitorar e manter irrigacao desligada
2026-05-03 12:00:00,26.7,30.0,6.1,1,1,1,0,LIGADA,Irrigar por 20 minutos
2026-05-03 16:00:00,35.4,27.6,6.8,0,1,1,0,DESLIGADA,Adicionar N antes de irrigar
2026-05-04 08:00:00,31.2,24.2,6.3,1,1,1,1,LIGADA,Irrigar levemente; chuva fraca
