data_hora,umidade,temperatura,ph,n,p,k,nivel_chuva,status_irrigacao,irrigacao_ligada,umidade_prevista,ph_previsto,produtividade_estimada
2026-05-01 08:00:00,33.72,22.72,6.66,1,0,1,1,LIGADA,1,46.09,6.75,69.11
2026-05-01 08:00:00,36.02,26.36,6.42,1,1,1,1,LIGADA,1,49.63,6.45,80.86
2026-05-01 08:00:00,32.3,24.43,6.16,1,1,1,1,LIGADA,1,46.36,6.35,80.0
2026-05-01 08:00:00,34.22,29.08,6.26,1,1,1,0,LIGADA,1,43.4,6.41,74.35
2026-05-01 08:00:00,29.2,26.1,6.66,1,1,1,1,LIGADA,1,42.63,6.81,77.96
2026-05-01 08:00:00,35.99,25.25,6.64,0,1,1,1,LIGADA,1,46.07,6.66,73.25
2026-05-01 08:00:00,29.94,24.25,6.92,1,1,1,0,LIGADA,1,38.27,7.16,71.93
2026-05-01 08:00:00,35.67,24.1,6.24,1,1,1,1,LIGADA,1,46.41,6.27,79.38
2026-05-01 08:00:00,33.07,26.18,6.25,1,1,1,0,LIGADA,1,39.68,6.38,74.72
2026-05-01 08:00:00,27.72,25.77,6.24,1,1,1,1,LIGADA,1,42.05,6.36,76.41
2026-05-01 08:00:00,32.18,21.43,5.89,1,1,1,0,LIGADA,1,39.42,6.22,70.11
2026-05-01 08:00:00,35.45,22.93,6.33,0,1,1,1,LIGADA,1,45.0,6.44,76.26
2026-05-01 08:00:00,30.12,21.91,6.43,1,1,1,0,LIGADA,1,37.64,6.47,73.35
2026-05-01 08:00:00,33.38,27.52,6.69,1,1,1,0,LIGADA,1,39.57,6.75,72.5
2026-05-01 08:00:00,26.99,26.07,6.32,1,1,1,0,LIGADA,1,38.96,6.84,75.4
2026-05-01 08:00:00,28.54,20.54,6.49,1,1,1,0,LIGADA,1,36.26,6.79,68.75
2026-05-01 08:00:00,31.87,22.73,5.81,1,1,1,1,LIGADA,1,45.13,6.07,73.75
2026-05-01 08:00:00,27.76,22.87,6.15,1,1,1,1,LIGADA,1,38.95,6.4,75.29
2026-05-01 08:00:00,31.87,24.72,6.17,1,0,1,1,LIGADA,1,45.22,6.45,77.11
2026-05-01 08:00:00,32.03,25.37,6.86,1,1,1,1,LIGADA,1,45.88,7.18,75.41
2026-05-01 08:00:00,27.6,22.06,6.98,1,1,1,0,LIGADA,1,33.39,7.04,67.08
2026-05-01 08:00:00,30.92,24.79,6.34,0,1,1,0,LIGADA,1,40.21,6.19,70.07
2026-05-01 08:00:00,29.13,22.36,6.09,1,1,1,1,LIGADA,1,41.16,6.19,77.44
2026-05-01 08:00:00,34.65,27.47,6.35,1,0,1,0,LIGADA,1,42.49,6.34,73.72
2026-05-01 08:00:00,33.41,29.83,7.06,1,1,1,0,LIGADA,1,40.7,7.37,64.9
2026-05-01 12:00:00,42.58,23.81,6.64,1,1,1,2,DESLIGADA,0,51.52,6.65,73.21
2026-05-01 12:00:00,38.17,25.17,7.45,1,1,1,2,DESLIGADA,0,45.83,7.51,72.98
2026-05-01 12:00:00,52.11,26.13,6.61,1,1,1,0,DESLIGADA,0,51.8,6.62,74.1
2026-05-01 12:00:00,44.13,28.56,6.51,1,1,1,2,DESLIGADA,0,53.34,6.62,69.19
2026-05-01 12:00:00,46.47,27.91,7.43,1,1,0,0,DESLIGADA,0,43.57,7.71,65.66
2026-05-01 12:00:00,47.12,24.61,7.02,1,1,1,1,DESLIGADA,0,52.23,7.13,68.81
2026-05-01 12:00:00,44.19,28.41,7.22,1,1,1,2,DESLIGADA,0,53.94,7.28,58.67
2026-05-01 12:00:00,46.51,31.55,6.16,1,1,1,0,DESLIGADA,0,43.9,6.49,79.41
2026-05-01 12:00:00,52.13,30.45,6.85,1,1,1,2,DESLIGADA,0,59.98,6.97,59.12
2026-05-01 12:00:00,49.16,25.74,6.97,1,1,1,1,DESLIGADA,0,57.8,7.2,58.34
2026-05-01 12:00:00,44.93,25.76,6.52,1,1,1,0,DESLIGADA,0,42.9,6.69,73.45
2026-05-01 12:00:00,42.52,28.72,7.1,1,1,1,2,DESLIGADA,0,52.39,7.41,57.38
2026-05-01 12:00:00,42.84,29.28,6.15,0,1,1,2,DESLIGADA,0,50.55,6.27,73.23
2026-05-01 12:00:00,46.13,28.57,6.79,1,1,1,2,DESLIGADA,0,57.23,6.78,66.81
2026-05-01 12:00:00,51.13,26.61,6.41,1,1,1,0,DESLIGADA,0,53.57,6.69,75.99
2026-05-01 12:00:00,47.42,32.76,6.63,1,1,1,1,DESLIGADA,0,52.67,6.58,65.06
2026-05-01 12:00:00,38.79,26.51,6.85,1,1,1,0,DESLIGADA,0,34.0,7.03,65.63
2026-05-01 12:00:00,47.04,29.5,6.75,0,1,0,0,DESLIGADA,0,45.45,6.82,71.55
2026-05-01 12:00:00,43.63,29.14,6.61,0,0,1,0,DESLIGADA,0,39.93,6.47,57.88
2026-05-01 12:00:00,42.49,29.6,6.6,1,1,1,1,DESLIGADA,0,44.69,6.9,75.96
2026-05-01 12:00:00,41.85,26.91,6.18,1,1,1,0,DESLIGADA,0,44.97,6.19,80.08
2026-05-01 12:00:00,41.04,29.05,6.65,1,1,0,2,DESLIGADA,0,47.83,6.65,73.86
2026-05-01 12:00:00,44.44,28.76,6.83,1,1,1,0,DESLIGADA,0,45.61,6.96,79.9
2026-05-01 12:00:00,46.73,27.84,6.82,1,1,1,2,DESLIGADA,0,58.24,6.83,67.81
2026-05-01 12:00:00,45.1,28.73,6.41,1,1,1,0,DESLIGADA,0,43.22,6.54,85.94
2026-05-01 16:00:00,34.32,27.58,6.32,1,1,0,0,LIGADA,1,41.09,6.58,68.29
2026-05-01 16:00:00,29.93,34.7,6.28,1,1,0,0,LIGADA,1,34.77,6.39,59.09
2026-05-01 16:00:00,31.62,27.8,6.43,1,0,0,0,LIGADA,1,38.37,6.63,58.66
2026-05-01 16:00:00,28.56,25.52,5.68,1,1,0,0,LIGADA,1,33.55,5.45,56.32
2026-05-01 16:00:00,39.58,30.37,6.0,1,1,0,1,LIGADA,1,50.88,6.2,68.61
2026-05-01 16:00:00,32.57,28.12,6.51,1,1,0,0,LIGADA,1,42.5,6.62,78.91
2026-05-01 16:00:00,28.13,32.41,6.25,1,1,0,0,LIGADA,1,32.99,6.43,56.41
2026-05-01 16:00:00,32.45,28.42,6.6,1,0,0,0,LIGADA,1,37.95,6.71,63.69
2026-05-01 16:00:00,28.89,29.18,6.27,1,1,0,1,LIGADA,1,41.89,6.41,80.43
2026-05-01 16:00:00,29.55,28.89,5.94,1,1,0,1,LIGADA,1,40.51,5.93,66.75
2026-05-01 16:00:00,31.24,29.6,5.93,1,1,1,0,LIGADA,1,39.07,6.12,65.27
2026-05-01 16:00:00,29.63,30.02,5.89,1,1,0,1,LIGADA,1,43.72,5.95,70.64
2026-05-01 16:00:00,20.26,27.19,6.1,1,1,0,1,LIGADA,1,31.17,6.23,69.39
2026-05-01 16:00:00,25.01,30.0,6.84,1,1,0,0,LIGADA,1,29.05,6.92,55.81
2026-05-01 16:00:00,33.15,29.98,5.58,1,1,1,0,LIGADA,1,38.48,5.81,70.55
2026-05-01 16:00:00,31.69,26.13,6.39,1,1,0,0,LIGADA,1,40.54,6.42,68.28
2026-05-01 16:00:00,32.76,29.98,5.99,1,1,1,1,LIGADA,1,43.12,6.18,72.62
2026-05-01 16:00:00,28.25,32.23,5.84,1,1,0,0,LIGADA,1,33.26,5.73,55.53
2026-05-01 16:00:00,28.76,29.12,5.81,0,1,0,0,LIGADA,1,39.77,5.88,60.45
2026-05-01 16:00:00,29.33,30.73,5.59,1,1,0,1,LIGADA,1,40.33,5.89,60.85
2026-05-01 16:00:00,32.25,30.14,5.9,1,1,0,1,LIGADA,1,43.77,5.89,67.17
2026-05-01 16:00:00,29.57,26.09,5.63,1,1,0,1,LIGADA,1,44.11,5.77,67.73
2026-05-01 16:00:00,24.63,31.17,6.32,1,1,0,0,LIGADA,1,30.49,6.55,64.09
2026-05-01 16:00:00,34.91,28.46,6.05,1,1,0,1,LIGADA,1,46.13,6.1,72.95
2026-05-01 16:00:00,28.92,31.4,5.41,1,0,0,0,LIGADA,1,33.2,5.47,55.34
2026-05-02 08:00:00,37.02,21.84,5.38,0,0,1,0,DESLIGADA,0,38.14,5.39,57.88
2026-05-02 08:00:00,37.95,25.3,5.04,0,0,1,0,DESLIGADA,0,39.32,5.04,51.41
2026-05-02 08:00:00,37.62,26.16,4.6,1,0,1,0,DESLIGADA,0,38.13,4.81,52.31
2026-05-02 08:00:00,33.52,24.8,5.42,0,0,1,0,DESLIGADA,0,35.08,5.56,49.76
2026-05-02 08:00:00,29.01,25.9,5.82,1,0,0,0,DESLIGADA,0,30.87,6.11,60.49
2026-05-02 08:00:00,36.51,22.11,5.4,1,0,1,1,DESLIGADA,0,43.79,5.38,67.62
2026-05-02 08:00:00,40.56,24.79,5.84,1,0,0,1,DESLIGADA,0,46.24,5.67,64.99
2026-05-02 08:00:00,35.78,21.34,5.99,1,0,1,0,DESLIGADA,0,35.8,6.13,59.24
2026-05-02 08:00:00,39.59,24.02,4.94,0,1,1,0,DESLIGADA,0,41.38,5.04,61.35
2026-05-02 08:00:00,38.18,23.49,5.02,1,1,1,0,DESLIGADA,0,38.96,4.98,60.91
2026-05-02 08:00:00,41.98,26.02,5.76,1,0,1,0,DESLIGADA,0,42.67,5.92,75.97
2026-05-02 08:00:00,42.4,23.64,4.96,1,0,0,0,DESLIGADA,0,42.91,4.98,54.41
2026-05-02 08:00:00,39.25,23.1,5.49,1,0,1,1,DESLIGADA,0,47.12,5.44,56.12
2026-05-02 08:00:00,30.55,23.96,5.41,1,0,1,0,DESLIGADA,0,33.68,5.4,55.49
2026-05-02 08:00:00,34.99,22.11,5.29,1,0,0,1,DESLIGADA,0,43.8,5.34,66.83
2026-05-02 08:00:00,37.63,24.16,5.53,1,0,1,0,DESLIGADA,0,36.9,5.59,65.27
2026-05-02 08:00:00,38.12,24.46,5.4,1,0,1,0,DESLIGADA,0,39.46,5.41,56.6
2026-05-02 08:00:00,37.77,24.07,5.16,1,0,1,0,DESLIGADA,0,37.67,5.31,55.68
2026-05-02 08:00:00,40.9,24.03,4.74,1,0,1,0,DESLIGADA,0,40.69,4.85,59.05
2026-05-02 08:00:00,41.79,21.68,4.99,0,0,1,0,DESLIGADA,0,36.79,4.83,45.59
2026-05-02 08:00:00,35.77,23.08,5.41,1,0,1,0,DESLIGADA,0,34.04,5.59,52.32
2026-05-02 08:00:00,39.56,24.11,5.35,1,0,1,0,DESLIGADA,0,37.0,5.48,56.36
2026-05-02 08:00:00,34.99,24.69,5.59,1,0,1,1,DESLIGADA,0,42.87,5.75,73.96
2026-05-02 08:00:00,30.48,23.26,5.1,1,0,1,0,DESLIGADA,0,30.14,5.27,51.42
2026-05-02 08:00:00,38.3,23.91,5.56,1,0,1,0,DESLIGADA,0,39.48,5.54,62.85
2026-05-02 12:00:00,31.06,28.93,6.97,1,1,1,2,DESLIGADA,0,39.32,7.12,57.78
2026-05-02 12:00:00,28.83,19.9,6.3,1,1,1,2,DESLIGADA,0,37.41,6.57,68.7
2026-05-02 12:00:00,36.27,27.2,7.04,1,1,1,1,DESLIGADA,0,40.78,7.02,71.88
2026-05-02 12:00:00,24.33,29.05,6.91,1,1,1,2,DESLIGADA,0,34.5,6.9,63.15
2026-05-02 12:00:00,31.72,26.38,6.4,1,1,1,2,DESLIGADA,0,43.06,6.56,82.08
2026-05-02 12:00:00,21.68,27.86,6.79,1,1,1,1,DESLIGADA,0,29.62,7.09,61.86
2026-05-02 12:00:00,28.71,28.73,6.94,1,1,1,2,DESLIGADA,0,36.93,7.13,67.58
2026-05-02 12:00:00,28.66,28.54,6.77,1,0,1,2,DESLIGADA,0,40.66,6.77,63.49
2026-05-02 12:00:00,23.12,25.16,6.92,1,1,1,1,DESLIGADA,0,28.75,7.11,64.6
2026-05-02 12:00:00,18.87,26.47,6.14,1,1,1,2,DESLIGADA,0,31.08,6.27,65.78
2026-05-02 12:00:00,29.24,26.14,6.9,1,1,1,2,DESLIGADA,0,37.28,7.13,72.49
